127.0.0.1, 2016-07-24 01:36:30, GET, /, HTTP/1.1, 303, 0.000603
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.737643
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000304
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000218
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000219
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000204
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000207
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000171
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000185
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000211
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000181
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000270
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000420
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000242
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000215
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000243
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000168
127.0.0.1, 2016-07-24 01:36:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000226
127.0.0.1, 2016-07-24 01:36:40, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.015958
127.0.0.1, 2016-07-24 01:36:47, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.014664
127.0.0.1, 2016-07-24 01:36:56, GET, /admin, HTTP/1.1, 200, 0.080575
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000259
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000194
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000212
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000206
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000792
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000211
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000187
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000173
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000191
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000199
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000228
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000192
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000272
127.0.0.1, 2016-07-24 01:36:56, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000275
127.0.0.1, 2016-07-24 01:36:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2016-07-24 01:36:59, POST, /admin/default/index, HTTP/1.1, 303, 0.021223
127.0.0.1, 2016-07-24 01:36:59, GET, /admin/default/site, HTTP/1.1, 200, 0.030551
127.0.0.1, 2016-07-24 01:36:59, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000243
127.0.0.1, 2016-07-24 01:36:59, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000473
127.0.0.1, 2016-07-24 01:36:59, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000245
127.0.0.1, 2016-07-24 01:36:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.325281
127.0.0.1, 2016-07-24 01:37:05, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.081864
127.0.0.1, 2016-07-24 01:37:05, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000251
127.0.0.1, 2016-07-24 01:37:05, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000235
127.0.0.1, 2016-07-24 01:37:05, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000220
127.0.0.1, 2016-07-24 01:37:05, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000174
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/default/edit/examples/models/feeds_reader.py, HTTP/1.1, 200, 0.026311
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000301
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000239
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000217
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000212
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000186
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000220
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000173
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000174
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000195
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000183
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000247
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000173
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000183
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000239
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000229
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000189
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000172
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000168
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000184
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000166
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000182
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000173
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000180
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000180
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000180
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000181
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000183
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000181
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000194
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000193
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000174
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000184
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000189
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.000185
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000185
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000246
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000196
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/default/edit/examples/models/feeds_reader.py, HTTP/1.1, 200, 0.025549
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.000284
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.049826
127.0.0.1, 2016-07-24 01:37:08, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.046835
127.0.0.1, 2016-07-24 01:37:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.035127
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.086510
127.0.0.1, 2016-07-24 01:37:08, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.104728
127.0.0.1, 2016-07-24 01:37:27, GET, /admin/default/site, HTTP/1.1, 200, 0.024805
127.0.0.1, 2016-07-24 01:37:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.638155
127.0.0.1, 2016-07-24 01:37:46, POST, /admin/default/site, HTTP/1.1, 303, 0.044119
127.0.0.1, 2016-07-24 01:37:46, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.081384
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/appadmin/graph_model, HTTP/1.1, 200, 0.916466
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000363
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/jquery.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/css/calendar.css, HTTP/1.1, 200, 0.000438
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/calendar.js, HTTP/1.1, 200, 0.000400
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/web2py.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/js/share.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/images/twitter.png, HTTP/1.1, 200, 0.000703
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/images/facebook.png, HTTP/1.1, 200, 0.000506
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/images/gplus-32.png, HTTP/1.1, 200, 0.000380
127.0.0.1, 2016-07-24 01:37:52, GET, /budget/static/images/favicon.ico, HTTP/1.1, 200, 0.000476
127.0.0.1, 2016-07-24 01:37:57, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.060607
127.0.0.1, 2016-07-24 01:38:55, GET, /, HTTP/1.1, 303, 0.000558
127.0.0.1, 2016-07-24 01:38:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.057203
127.0.0.1, 2016-07-24 01:38:59, GET, /admin, HTTP/1.1, 303, 0.042439
127.0.0.1, 2016-07-24 01:39:00, GET, /admin/default/site, HTTP/1.1, 200, 0.047999
127.0.0.1, 2016-07-24 01:39:02, GET, /budget/default/index, HTTP/1.1, 200, 0.036722
127.0.0.1, 2016-07-24 01:39:02, GET, /budget/static/images/background.jpg, HTTP/1.1, 200, 0.000286
127.0.0.1, 2016-07-24 01:39:02, GET, /budget/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000230
127.0.0.1, 2016-07-24 01:39:08, GET, /admin, HTTP/1.1, 303, 0.002635
127.0.0.1, 2016-07-24 01:39:08, GET, /admin/default/site, HTTP/1.1, 200, 0.032710
127.0.0.1, 2016-07-24 01:39:11, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.058658
127.0.0.1, 2016-07-24 01:39:14, GET, /budget/appadmin/graph_model, HTTP/1.1, 200, 0.022631
127.0.0.1, 2016-07-24 01:39:20, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.053525
127.0.0.1, 2016-07-24 01:39:23, GET, /budget/appadmin/index, HTTP/1.1, 200, 0.024031
127.0.0.1, 2016-07-24 01:39:23, GET, /budget/appadmin/hooks, HTTP/1.1, 200, 0.023155
127.0.0.1, 2016-07-24 01:39:27, GET, /budget/appadmin/index, HTTP/1.1, 200, 0.023450
127.0.0.1, 2016-07-24 01:39:27, GET, /budget/appadmin/hooks, HTTP/1.1, 200, 0.022067
127.0.0.1, 2016-07-24 01:39:29, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.054934
127.0.0.1, 2016-07-24 01:39:47, GET, /admin/default/plugins/budget, HTTP/1.1, 200, 1.046152
127.0.0.1, 2016-07-24 01:40:16, GET, /admin/default/install_plugin/budget, HTTP/1.1, 200, 0.024138
127.0.0.1, 2016-07-24 01:40:20, POST, /admin/default/install_plugin/budget, HTTP/1.1, 303, 1.407014
127.0.0.1, 2016-07-24 01:40:20, GET, /admin/default/plugins/budget, HTTP/1.1, 200, 0.033701
127.0.0.1, 2016-07-24 01:41:20, GET, /admin/mercurial/commit/budget, HTTP/1.1, 303, 0.006865
127.0.0.1, 2016-07-24 01:41:20, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.058683
127.0.0.1, 2016-07-24 01:41:24, GET, /admin/default/errors/budget, HTTP/1.1, 200, 0.039073
127.0.0.1, 2016-07-24 01:41:27, GET, /admin/default/about/budget, HTTP/1.1, 200, 0.021445
127.0.0.1, 2016-07-24 01:41:27, GET, /admin/static/_2.14.6/js/jquery.flot.js, HTTP/1.1, 200, 0.000252
127.0.0.1, 2016-07-24 01:41:27, GET, /admin/static/_2.14.6/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.000237
127.0.0.1, 2016-07-24 01:41:38, GET, /admin/default/about/budget, HTTP/1.1, 200, 0.020905
127.0.0.1, 2016-07-24 01:41:40, GET, /admin/default/design/budget, HTTP/1.1, 200, 0.059700
127.0.0.1, 2016-07-24 01:41:50, GET, /admin/default/site, HTTP/1.1, 200, 0.028033
127.0.0.1, 2016-07-24 01:42:02, GET, /admin/wizard/index, HTTP/1.1, 200, 0.017484
127.0.0.1, 2016-07-24 01:42:12, POST, /admin/wizard/index, HTTP/1.1, 303, 0.009884
127.0.0.1, 2016-07-24 01:42:12, GET, /admin/wizard/step1, HTTP/1.1, 500, 0.119541
127.0.0.1, 2016-07-24 01:42:15, GET, /admin/default/ticket/admin/127.0.0.1.2016-07-24.01-42-12.1d7459e6-9112-4916-90e4-11ed3fad5567, HTTP/1.1, 200, 0.070770
127.0.0.1, 2016-07-24 01:42:20, GET, /admin/wizard/index, HTTP/1.1, 200, 0.018517
